Profile,Depth/ms,Heave/m,Throw/ms,Depth/m
8,3306.95,29.4486,17.0938,3004.995266
8,3320.36,19.6485,10.3832,3023.626517
9,2699.61,15.3511,16.1826,2349.687553
9,2708.37,20.5207,18.3862,2356.517637
9,2717.26,17.4424,16.4424,2363.527536
9,2727.09,14.9572,14.4838,2371.370647
9,2742.18,20.2517,15.4102,2383.598602
9,2748.72,27.0052,16.6838,2388.968923
9,2757.49,19.7423,17.966,2396.237543
9,2766.4,16.809,17.4537,2403.70096
9,2775.56,20.5383,15.535,2411.456549
9,2784.4,34.4039,14.2422,2419.02076
9,2798.66,34.4039,18.6444,2431.38746
9,2808.98,21.57,18.9103,2440.464106
9,2817.36,34.4039,19.6062,2447.912837
9,2826.67,36.8085,22.0847,2456.270563
9,2837.37,33.2923,25.4307,2465.983167
9,2851.59,46.0106,27.6059,2479.068127
9,2865.03,30.9835,24.8985,2491.621221
9,2877.25,31.1529,24.2742,2503.191606
9,2886.6,28.4294,27.3636,2512.1454
9,2903.73,13.0299,28.161,2528.776317
9,2917.78,33.0268,29.765,2542.63601
9,2929.33,39.792,28.6706,2554.177405
9,2953.87,39.022,24.8177,2579.141947
9,2977.49,46.0106,28.8082,2603.739343
9,2991.32,46.4521,29.1537,2618.400595
9,3004.96,27.7419,30.0337,2633.047773
9,3019.8,22.5891,31.1552,2649.19488
9,3035.32,45.4986,31.4462,2666.317475
9,3046.57,40.1957,31.0216,2678.879731
9,3060.18,58.2647,32.5074,2694.246442
9,3074.98,43.7834,32.3796,2711.166986
9,3085.24,61.2704,30.6578,2723.025597
9,3093.99,46.1937,33.6064,2733.222103
9,3104.33,58.2647,30.0567,2745.370155
9,3115.42,43.0519,29.9589,2758.518182
9,3135.81,40.6396,31.1367,2783.012995
9,3157.25,44.2114,34.2012,2809.217606
9,3175.17,55.259,34.3571,2831.472633
9,3183,61.5016,37.4552,2841.2976
9,3191.67,58.2647,35.5594,2852.248113
9,3202.14,52.2533,30.704,2865.572288
9,3211.46,36.1384,33.0358,2877.525188
9,3221.63,58.2647,33.7097,2890.667319
9,3238.36,49.2476,28.207,2912.511597
9,3257.34,52.2533,27.6059,2937.632576
9,3292.9,30.7112,20.7835,2985.667735
9,3308.85,28.006,18.3078,3007.624106
9,3319.25,24.9622,15.7642,3022.077506
9,3346.81,5.74857,0.0246295,3060.902105
10,2670.41,13.7616,12.9623,2327.474821
10,2685.19,23.5278,14.1461,2338.611551
10,2700.95,12.7102,17.7867,2350.727366
10,2711.88,15.2345,17.0133,2359.275883
10,2720.56,12.3893,15.4248,2366.149749
10,2729.94,14.3999,15.0411,2373.66266
10,2737.4,13.9865,15.4626,2379.70056
10,2744.88,21.6042,14.5308,2385.810523
10,2752.76,21.4562,14.9155,2392.307741
10,2760.57,23.5278,16.0993,2398.808511
10,2768.84,25.5995,16.484,2405.758661
10,2778.28,23.5278,15.3002,2413.775675
10,2787.5,18.9291,15.5301,2421.691875
10,2794.2,23.4115,17.9395,2427.49776
10,2801.69,19.9662,18.8966,2434.041361
10,2812.46,19.3667,16.9908,2443.548848
10,2821.4,29.4098,18.6444,2451.52896
10,2830.11,23.9863,21.3252,2459.380633
10,2841.62,30.456,24.7996,2469.872746
10,2855.56,28.1777,23.7913,2482.757349
10,2868.4,26.1121,24.2988,2494.79716
10,2878.74,25.2634,25.731,2504.612612
10,2889.59,25.2705,27.7649,2515.027147
10,2906.28,21.825,30.4171,2531.277115
10,2920.43,17.1983,31.6977,2545.272243
10,2932.21,43.4332,30.3299,2557.076039
10,2954.93,55.259,29.4555,2580.233853
10,2981.49,49.8197,29.5127,2607.960103
10,2993.13,45.7516,29.7034,2620.333539
10,3006.64,44.2248,31.2925,2634.864693
10,3022.83,36.2465,29.639,2652.518835
10,3040.55,48.4552,30.2445,2672.141786
10,3049.83,40.0896,31.2383,2682.543645
10,3064.16,39.8673,32.4512,2698.775165
10,3071.17,64.2762,34.3571,2706.790153
10,3088.33,64.5074,30.6578,2726.617675
10,3099.18,67.5131,31.2589,2739.306262
10,3119.6,70.5188,30.0567,2763.5058
10,3140.44,58.2647,28.8082,2788.633005
10,3151.45,61.5016,28.8082,2802.083316
10,3163.88,61.2704,32.5074,2817.414043
10,3180.38,51.325,36.1774,2838.003238
10,3190.21,64.2762,34.9582,2850.398819
10,3197.43,54.9932,37.4054,2859.564753
10,3208.59,64.2762,34.9582,2873.835157
10,3217.28,61.2704,34.3571,2885.033395
10,3226.96,49.582,34.3214,2897.596293
10,3236.09,47.5131,35.6056,2909.531257
10,3251.45,42.2436,26.9748,2929.798316
10,3261.85,40.6413,25.5524,2943.654756
10,3276.78,46.0106,20.8547,2963.73583
10,3295.74,35.75,23.9348,2989.558592
10,3309.09,32.4482,22.8621,3007.956427
10,3321.09,27.0448,19.6495,3024.645907
10,3343.23,1.65731,0.947016,3055.815927
11,2704.6,22.0185,15.0576,2353.5688
11,2722.05,23.5574,16.0283,2367.337286
11,2731.16,23.5574,15.6968,2374.646285
11,2745.94,25.0964,16.3124,2386.6809
11,2754.72,23.5574,15.389,2393.933443
11,2762.84,31.8144,17.1647,2400.709421
11,2769.72,19.4987,17.3992,2406.502243
11,2779.99,29.5948,16.2029,2415.237443
11,2790.04,34.219,15.685,2423.887629
11,2804.07,19.8474,20.8683,2436.132381
11,2814.36,31.9994,20.1241,2445.238157
11,2824.26,29.4098,19.1623,2454.098756
11,2835.03,29.4098,18.1635,2463.849321
11,2843.53,25.7656,24.7306,2471.626651
11,2858.02,39.2131,25.4881,2485.051274
11,2868.85,28.5755,27.7875,2495.222106
11,2879.16,41.6177,27.9666,2505.013565
11,2891.32,33.2792,29.7119,2516.698595
11,2908.52,39.9751,29.6274,2533.479259
11,2923.73,35.506,30.5651,2548.564917
11,2933.55,39.068,30.2135,2558.427536
11,2959.06,43.2084,29.4463,2584.498884
11,2984.18,44.6361,30.3119,2610.807562
11,2994.3,48.8486,32.1146,2621.584755
11,3010.34,49.1525,32.3177,2638.876196
11,3027.98,47.4519,31.0467,2658.189526
11,3043.79,45.2182,31.6498,2675.763685
11,3053.93,43.2101,32.1393,2687.166723
11,3067.46,46.6596,35.3253,2702.542148
11,3075.32,58.8936,34.9212,2711.558275
11,3084.68,44.9271,32.971,2722.375627
11,3092.14,58.8936,31.4291,2731.059888
11,3103.06,54.8983,29.831,2743.872324
11,3124.25,45.132,21.6038,2769.074756
11,3136,58.8936,30.6005,2783.2432
11,3143.86,72.6552,36.1346,2792.798052
11,3157.29,62.7409,35.7203,2809.266925
11,3167.47,48.9897,34.9506,2821.870579
11,3183.95,60.8173,37.3184,2842.493816
11,3194.24,63.8137,35.846,2855.508557
11,3202.14,63.8137,36.8079,2865.572288
11,3212.32,63.8137,34.3663,2878.632515
11,3222.75,45.9407,33.3802,2892.120956
11,3231.91,51.9617,35.2924,2904.056711
11,3240.45,68.6229,33.3675,2915.260166
11,3254.61,61.2242,31.4069,2933.997103
11,3266.79,58.8196,27.4857,2950.274455
11,3277.68,49.0164,25.0072,2964.953467
11,3296.68,54.0105,24.5262,2990.848187
11,3309.54,49.0164,24.5262,3008.579684
11,3320.77,46.6118,20.605,3024.198985
11,3335.6,24.5602,16.5701,3045.0186
12,2671.61,27.5231,13.7317,2328.370873
12,2689.73,27.5231,12.9623,2342.076297
12,2704.76,23.5278,16.8687,2353.693661
12,2715.28,15.6852,16.484,2361.959435
12,2724.45,23.5278,14.5308,2369.254766
12,2733.1,15.4644,16.6882,2376.213475
12,2757.79,16.5077,15.097,2396.487545
12,2765.8,31.3705,17.283,2403.19588
12,2773.09,27.3752,18.0821,2409.356987
12,2784.08,16.0482,13.0696,2418.745579
12,2793.3,19.3959,12.3691,2426.715255
12,2805.32,18.8135,21.0216,2437.232875
12,2814.3,35.3658,24.7408,2445.184755
12,2823.33,33.4421,24.3561,2453.262225
12,2837.66,35.3658,19.2363,2466.248
12,2850.52,23.2874,18.8967,2478.076499
12,2858.91,25.4832,23.7858,2485.882681
12,2870.18,28.778,27.27,2496.479242
12,2882.45,28.5955,28.3111,2508.160466
12,2893.74,41.6177,28.9284,2519.041712
12,2911.84,24.5741,28.2805,2536.752381
12,2925.2,44.2072,30.889,2550.03516
12,2937.33,44.2566,28.1827,2562.249645
12,2960.49,40.3487,30.7618,2585.979613
12,2987.24,37.0584,30.269,2614.055477
12,2999.16,47.8686,31.611,2626.796765
