Dataset,Lost Fault,Large Fault,Total Length
poly north 22,20.0,16.6667,9.0909
poly north 23,8.3333,8.3333,8.3333
poly north 24,20.0,20.0,20.0
poly north 25,16.6667,14.2857,7.6923
poly south 1,9.0909,9.0909,9.0909
poly south 2,20.0,20.0,20.0
poly south 3,25.0,11.1111,7.6923
poly south 4,20.0,20.0,20.0
poly south 5,20.0,20.0,20.0
poly south 6,25.0,16.6667,10.0
poly south 7,10.0,10.0,10.0
poly south 8,8.3333,8.3333,8.3333
poly south 9,8.3333,8.3333,8.3333
poly south 10,33.3333,11.1111,6.25
poly south 11,8.3333,8.3333,8.3333
poly south 12,9.0909,9.0909,9.0909
poly south 13,25.0,16.6667,7.1429
poly south 14,50.0,20.0,14.2857
poly south 15,16.6667,16.6667,8.3333
poly south 16,50.0,12.5,7.1429
poly south 17,8.3333,8.3333,8.3333
poly south 18,20.0,20.0,20.0
poly south 19,9.0909,9.0909,9.0909
poly south 20,20.0,20.0,20.0
poly south 21,20.0,12.5,7.6923
poly south 22,50.0,20.0,14.2857
poly south 23,50.0,10.0,8.3333
poly south 24,25.0,12.5,8.3333
poly south 25,20.0,20.0,20.0
R2 H2,50.0,2.5,0.4785
R2 H3,50.0,5.2632,1.1236
R3 H3,50.0,2.5,0.5291
R4 H3,50.0,3.8462,0.7407
R5 H2,33.3333,10.0,2.2727
Roller 1 analysis,50.0,4.5455,0.9615
Roller 2 analysis,50.0,12.5,2.439
Roller 3 analysis,25.0,14.2857,3.0303
Roller 4 analysis,50.0,14.2857,2.2727
Roller 5 analysis,25.0,14.2857,9.0909
Roller 6 analysis,50.0,10.0,2.439
Roller 7 analysis,50.0,4.7619,1.0
S1 H2,50.0,12.5,2.2727
S2 H2,50.0,4.3478,1.2658
S3 H2,50.0,7.1429,1.7857
S4 H2,50.0,7.6923,1.5625
S5 H2,50.0,3.125,0.8696
